gamma,q,R_gbm,Ra_gbm,Rb_gbm,r_abm
0.1,-10,508.1077,528.5131,487.7024,104.0
0.1,-9,467.297,487.7024,446.8916,103.6
0.1,-8,426.4862,446.8916,406.0808,103.2
0.1,-7,385.6754,406.0808,365.27,102.8
0.1,-6,344.8646,365.27,324.4593,102.4
0.1,-5,304.0539,324.4593,283.6485,102.0
0.1,-4,263.2431,283.6485,242.8377,101.6
0.1,-3,222.4323,242.8377,202.0269,101.2
0.1,-2,181.6215,202.0269,161.2162,100.8
0.1,-1,140.8108,161.2162,120.4054,100.4
0.1,0,100.0,120.4054,79.5946,100.0
0.1,1,59.1892,79.5946,38.7838,99.6
0.1,2,18.3785,38.7838,-2.0269,99.2
0.1,3,-22.4323,-2.0269,-42.8377,98.8
0.1,4,-63.2431,-42.8377,-83.6485,98.4
0.1,5,-104.0539,-83.6485,-124.4593,98.0
0.1,6,-144.8646,-124.4593,-165.27,97.6
0.1,7,-185.6754,-165.27,-206.0808,97.2
0.1,8,-226.4862,-206.0808,-246.8916,96.8
0.1,9,-267.297,-246.8916,-287.7024,96.4
0.1,10,-308.1077,-287.7024,-328.5131,96.0
0.01,-10,140.8108,142.8513,138.7702,100.4
0.01,-9,136.7297,138.7702,134.6892,100.36
0.01,-8,132.6486,134.6892,130.6081,100.32
0.01,-7,128.5675,130.6081,126.527,100.28
0.01,-6,124.4865,126.527,122.4459,100.24
0.01,-5,120.4054,122.4459,118.3648,100.2
0.01,-4,116.3243,118.3648,114.2838,100.16
0.01,-3,112.2432,114.2838,110.2027,100.12
0.01,-2,108.1622,110.2027,106.1216,100.08
0.01,-1,104.0811,106.1216,102.0405,100.04
0.01,0,100.0,102.0405,97.9595,100.0
0.01,1,95.9189,97.9595,93.8784,99.96
0.01,2,91.8378,93.8784,89.7973,99.92
0.01,3,87.7568,89.7973,85.7162,99.88
0.01,4,83.6757,85.7162,81.6352,99.84
0.01,5,79.5946,81.6352,77.5541,99.8
0.01,6,75.5135,77.5541,73.473,99.76
0.01,7,71.4325,73.473,69.3919,99.72
0.01,8,67.3514,69.3919,65.3108,99.68
0.01,9,63.2703,65.3108,61.2298,99.64
0.01,10,59.1892,61.2298,57.1487,99.6
0.5,-10,2140.5387,2242.5656,2038.5118,120.0
0.5,-9,1936.4848,2038.5118,1834.4579,118.0
0.5,-8,1732.431,1834.4579,1630.404,116.0
0.5,-7,1528.3771,1630.404,1426.3502,114.0
0.5,-6,1324.3232,1426.3502,1222.2963,112.0
0.5,-5,1120.2694,1222.2963,1018.2424,110.0
0.5,-4,916.2155,1018.2424,814.1885,108.0
0.5,-3,712.1616,814.1885,610.1347,106.0
0.5,-2,508.1077,610.1347,406.0808,104.0
0.5,-1,304.0539,406.0808,202.0269,102.0
0.5,0,100.0,202.0269,-2.0269,100.0
0.5,1,-104.0539,-2.0269,-206.0808,98.0
0.5,2,-308.1077,-206.0808,-410.1347,96.0
0.5,3,-512.1616,-410.1347,-614.1885,94.0
0.5,4,-716.2155,-614.1885,-818.2424,92.0
0.5,5,-920.2694,-818.2424,-1022.2963,90.0
0.5,6,-1124.3232,-1022.2963,-1226.3502,88.0
0.5,7,-1328.3771,-1226.3502,-1430.404,86.0
0.5,8,-1532.431,-1430.404,-1634.4579,84.0
0.5,9,-1736.4848,-1634.4579,-1838.5118,82.0
0.5,10,-1940.5387,-1838.5118,-2042.5656,80.0
